Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:6sD2mCUjmi0S3PTKxdW1Lc,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6WpZwkzyjINc6wDghg8Gzv,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:7GRv55NwkjxU2ysJLwzC9c,e402c4fafcf24aff8dddd3e672e29a22,2026-01-17T13:47:23Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0fJHz1wceiNJFs6jEWIvlJ,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,2,such a vibe but makes me wanna follow the rules of road,cac0a97113f342e387a36a7edf756fa1
spotify:track:0mwbc2AqVHIziVGg3syEI9,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,2,the sax is so fucking infectious,cac0a97113f342e387a36a7edf756fa1
spotify:track:10wJ35whDsMVQ04fhkR5QS,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,3,FINALLY SLAYYYTER GETTING THE LOVE SHE DESERVES,cac0a97113f342e387a36a7edf756fa1
spotify:track:14WaaiKH1dCUkXhwr4l0DG,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,0,why no googoo gaga?,cac0a97113f342e387a36a7edf756fa1
spotify:track:1Q9b6CeMcDuO0uq5OJCrqu,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,-1,"funny enough, ""move bitch, get out the way"" is what i say every time i skip this song",cac0a97113f342e387a36a7edf756fa1
spotify:track:2dKkVF2m160z0RNDN2dddc,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,5,congratulations amna you've won 5 points by having the (second) best taste here ,cac0a97113f342e387a36a7edf756fa1
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,2,absolutely insane hook and post-chorus,cac0a97113f342e387a36a7edf756fa1
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,1,not even in my top 5 off brat plus the remix is better,cac0a97113f342e387a36a7edf756fa1
spotify:track:4gVTozEmzwAUXpwj3jEetX,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,1,i hereby award you one (1) [½×2] {3-2} point,cac0a97113f342e387a36a7edf756fa1
spotify:track:5hyq3LBlCfjRQAFkdQwe8o,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,4,SOPHIEEEEEEEEEE,cac0a97113f342e387a36a7edf756fa1
spotify:track:5pWHXtj4OyOLVoQZHpuXBK,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,1,okay i kinda fw this,cac0a97113f342e387a36a7edf756fa1
spotify:track:5tFzUj1jV09bo4wBQWSbDl,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,0,"fine song, title reminded me of Ed Sheeran rho",cac0a97113f342e387a36a7edf756fa1
spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,-2,dude im so sorry but i despise this song and the only thing saving it from -3 is the fact that miranda keeps submitting that fuck ass dare song ,cac0a97113f342e387a36a7edf756fa1
spotify:track:6sD2mCUjmi0S3PTKxdW1Lc,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,1,i already have audio processing issues and now this man is mumbling every single word. WHAT IS HE SAYING,cac0a97113f342e387a36a7edf756fa1
spotify:track:6WpZwkzyjINc6wDghg8Gzv,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,-3,i will never like this song,cac0a97113f342e387a36a7edf756fa1
spotify:track:7GRv55NwkjxU2ysJLwzC9c,a0672a3d11374827b1e2754a53877112,2026-01-17T16:42:46Z,3,PURE GAS,cac0a97113f342e387a36a7edf756fa1
spotify:track:2dKkVF2m160z0RNDN2dddc,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,5,can’t explain it but i need to drive faster than she raps,cac0a97113f342e387a36a7edf756fa1
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,5,brat is meant for law breaking,cac0a97113f342e387a36a7edf756fa1
spotify:track:4gVTozEmzwAUXpwj3jEetX,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:4MpketOLD5KhtgWWOBuk9w,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5hyq3LBlCfjRQAFkdQwe8o,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5pWHXtj4OyOLVoQZHpuXBK,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,-2,lowkey made my head hurt :/,cac0a97113f342e387a36a7edf756fa1
spotify:track:5tFzUj1jV09bo4wBQWSbDl,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,d332f483f6794cb7b5e19a4df770f1ac,2026-01-17T19:59:29Z,3,,cac0a97113f342e387a36a7edf756fa1
